#  zt    Iaa    I_aa_errors 
0.025  1.728350  0.009564
0.050  0.941577  0.008202
0.096  0.667563  0.009381
0.187  0.560423  0.011493
0.375  0.474457  0.016208
0.744  0.355441  0.029382
