#  zt    Iaa    I_aa_errors 
0.025  1.794454  0.009909
0.050  0.830718  0.007512
0.096  0.543501  0.008157
0.187  0.450681  0.009956
0.375  0.382147  0.014114
0.744  0.238241  0.023097
