#  pt    Iaa    I_aa_errors 
1.500  2.164675  0.009994
3.000  1.243815  0.008582
6.000  0.760407  0.008117
11.500  0.621080  0.010557
22.500  0.555807  0.013655
45.000  0.453263  0.019422
