#  pt    Iaa    I_aa_errors 
1.500  2.373775  0.010840
3.000  1.182287  0.008293
6.000  0.637592  0.007172
11.500  0.517928  0.009346
22.500  0.452604  0.012000
45.000  0.386243  0.018518
