0.0205 0 0 0 0 -nan -nan 12.5828 11.2582 39.1339 0.34871 0.322622 0.286722 77.9506 72.8426 199.83 0.447479 0.390439 0.364199 
0.0325 1.10177 0.859949 4.56287 0.313333 0.247918 0.183326 24.4972 22.6324 87.7519 0.669715 0.279943 0.257199 45.7426 42.9257 111.017 0.258171 0.412432 0.386296 
0.0515 6.73207 5.71799 31.1528 1.14043 0.219133 0.180917 15.6135 14.2799 55.1036 0.452556 0.284184 0.25839 25.4187 23.866 55.7823 0.144014 0.456192 0.427376 
0.0815 5.33305 4.60108 27.7452 0.877516 0.194149 0.164039 8.21461 7.41666 26.6757 0.245201 0.309025 0.277057 13.2512 12.4859 26.2652 0.0757013 0.505174 0.474778 
0.13 2.65168 1.98667 11.8117 0.425943 0.226993 0.166209 3.79496 3.44737 11.2415 0.113232 0.33892 0.305465 6.12018 5.79259 11.0097 0.0356749 0.556716 0.52538 
0.205 1.02032 0.858314 4.36096 0.189253 0.237431 0.193695 1.56031 1.4289 4.15745 0.0489044 0.377047 0.342153 2.49618 2.33217 4.25564 0.0169279 0.58766 0.547036 
0.325 0.365432 0.295276 1.20361 0.0523634 0.307995 0.241638 0.526907 0.466558 1.33194 0.0198218 0.397966 0.348226 0.826175 0.771693 1.37174 0.00678336 0.603678 0.56131 
0.515 0.0988502 0.0621952 0.357713 0.022123 0.281846 0.169841 0.125023 0.110403 0.317024 0.00652686 0.39761 0.345372 0.1908 0.175764 0.333808 0.00248465 0.573547 0.524781 
0.815 0.0126526 0.00919696 0.0408997 0.0039967 0.319783 0.215267 0.020015 0.0160024 0.0495511 0.00177654 0.409403 0.318077 0.0222809 0.0205638 0.0449701 0.000613029 0.498351 0.454601 
1.15 0.0041464 0.00100875 0.00590325 0.00113761 0.744792 0.158074 0.00193537 0.00154884 0.0043853 0.000368965 0.455408 0.340269 0.00155701 0.00125809 0.00307004 0.000146662 0.516922 0.400972 
