1.05 5.90994 5.52075 2.83616 0.200133 2.17969 1.85426 10.3308 9.78561 3.23951 0.0537624 3.22479 2.98595 16.7546 15.9914 4.12806 0.0191454 4.07206 3.86104 
1.15 4.91915 4.36921 2.24541 0.143143 2.27254 1.86681 8.46676 8.17409 2.94162 0.051266 2.91207 2.7456 14.0008 13.3402 3.74253 0.0181665 3.75368 3.55239 
1.3 3.58913 3.38523 2.05545 0.118735 1.80913 1.58242 6.36947 6.16263 2.5618 0.0339033 2.50802 2.38453 10.5725 10.1109 3.28801 0.0120153 3.22351 3.06739 
1.5 2.54553 2.30708 1.49074 0.0703604 1.7469 1.50796 4.36758 4.15896 2.15683 0.0295659 2.04221 1.91179 7.25804 6.94699 2.80098 0.0109252 2.59785 2.47389 
1.7 1.62306 1.40845 1.39506 0.0927165 1.2034 0.966074 2.90242 2.82396 1.73112 0.0250085 1.69063 1.61767 5.0008 4.78654 2.42112 0.0101503 2.07087 1.97179 
1.9 1.09646 0.977772 0.982329 0.0637668 1.1512 0.96117 2.05927 1.95145 1.55851 0.0266622 1.33417 1.23952 3.51219 3.37225 2.12233 0.00953816 1.6593 1.58467 
2.1 0.780629 0.675319 0.888568 0.0613593 0.906189 0.733896 1.41552 1.36919 1.29109 0.0219455 1.10599 1.05061 2.4935 2.41751 1.85996 0.00888033 1.34426 1.29622 
2.3 0.528053 0.455475 0.771535 0.0668456 0.712737 0.559097 1.00957 0.979993 1.16715 0.0204535 0.872629 0.832159 1.83017 1.78646 1.65861 0.00832776 1.10641 1.07415 
2.8 0.24884 0.216409 0.507389 0.0198909 0.497991 0.419023 0.528026 0.503657 0.868254 0.00926191 0.611022 0.577281 0.979466 0.97304 1.27987 0.00361011 0.766332 0.759206 
3.6 0.086705 0.0734043 0.309385 0.0152805 0.284938 0.233113 0.208251 0.187407 0.55568 0.00712712 0.376748 0.335477 0.434982 0.414874 0.879667 0.00285689 0.495177 0.47098 
4.4 0.043012 0.0352382 0.188053 0.0120447 0.233958 0.182496 0.126586 0.115825 0.382502 0.00535551 0.332705 0.301146 0.298362 0.280544 0.652583 0.00249208 0.457967 0.429223 
5.2 0.0359947 0.025653 0.118909 0.00714852 0.308549 0.211689 0.0954851 0.0882379 0.279798 0.0044453 0.343332 0.313561 0.23902 0.222062 0.498652 0.00206743 0.480185 0.444542 
6 0.0249108 0.0186427 0.0751994 0.00476248 0.338025 0.24286 0.0750198 0.0662918 0.210835 0.0037596 0.358318 0.312202 0.192782 0.183504 0.393381 0.00179913 0.491063 0.465568 
6.8 0.0193963 0.0121608 0.0607598 0.00504111 0.328229 0.193438 0.0584722 0.0515498 0.151914 0.00294206 0.387938 0.336765 0.161636 0.153567 0.312623 0.00154689 0.518157 0.49022 
8.4 0.0109419 0.00736412 0.035967 0.00203175 0.310001 0.200343 0.0386824 0.034603 0.0982309 0.00125565 0.395769 0.350462 0.118112 0.111176 0.220285 0.000728577 0.536967 0.503963 
10.8 0.0042291 0.00325506 0.0162411 0.00115409 0.266182 0.19465 0.0222205 0.0199221 0.0542253 0.000959605 0.412869 0.364785 0.0772905 0.072772 0.136664 0.000548511 0.566593 0.531526 
13.2 0.00211761 0.00157853 0.00750239 0.000606675 0.289849 0.20441 0.0133787 0.0119681 0.032905 0.000629665 0.409723 0.361043 0.0539261 0.0508049 0.0920377 0.000428908 0.58719 0.550835 
16.8 0.000924168 0.000695655 0.00244709 0.000247583 0.390615 0.270962 0.00692349 0.00616594 0.0166675 0.000297123 0.418379 0.367242 0.0340955 0.0321122 0.0564824 0.000225053 0.604798 0.567512 
21.6 0.000282347 0.000131818 0.000790349 0.00010093 0.369137 0.157969 0.00313507 0.0026611 0.00749073 0.000185486 0.422788 0.351541 0.0199929 0.0186533 0.0314512 0.000152547 0.637146 0.59175 
26.4 9.02279e-05 4.97755e-05 0.000204696 3.94836e-05 0.469436 0.221457 0.00160432 0.00131177 0.00338481 0.000103179 0.479624 0.382719 0.0123766 0.0116785 0.0191723 0.000113354 0.647395 0.607427 
32 3.79062e-05 1.46109e-05 7.65355e-05 1.64424e-05 0.524678 0.171655 0.000621094 0.000546876 0.00153921 5.34842e-05 0.409089 0.350223 0.0075501 0.00708095 0.0115077 6.91768e-05 0.658005 0.613564 
38.4 1.9757e-05 1.98969e-06 2.21544e-05 7.95537e-06 0.986573 0.0692339 0.000259097 0.00022743 0.000578686 2.90296e-05 0.457008 0.384642 0.00451786 0.00420344 0.00691879 4.96195e-05 0.655283 0.605429 
44.8 4.88761e-06 3.53643e-07 5.96196e-06 2.89819e-06 0.917409 0.0332852 0.000109802 8.8309e-05 0.000274314 1.69455e-05 0.409583 0.313778 0.00279418 0.00262375 0.00426417 3.46994e-05 0.657874 0.612887 
