0.0205 0 0 0 0 -nan -nan 125.909 122.15 39.1339 0.34871 3.23704 3.10224 410.996 397.658 199.83 0.447479 2.0594 1.98739 
0.0325 11.0711 10.0516 4.56287 0.313333 2.53803 2.09414 198.479 191.551 87.7519 0.669715 2.27262 2.17234 103.18 102.157 111.017 0.258171 0.930413 0.91918 
0.0515 61.1343 57.8219 31.1528 1.14043 2.00908 1.80988 64.9991 63.0557 55.1036 0.452556 1.18448 1.13952 28.9276 27.6321 55.7823 0.144014 0.519155 0.494829 
0.0815 35.3762 33.469 27.7452 0.877516 1.29549 1.18604 13.6004 12.617 26.6757 0.245201 0.511668 0.47126 13.2512 12.4859 26.2652 0.0757013 0.505172 0.474777 
0.13 6.65485 5.81474 11.8117 0.425943 0.571044 0.48526 3.8842 3.50559 11.2415 0.113232 0.346846 0.31063 6.12018 5.79258 11.0097 0.0356749 0.556716 0.525379 
0.205 1.2072 0.998997 4.36096 0.189253 0.280667 0.225547 1.56031 1.42889 4.15745 0.0489044 0.377047 0.342152 2.49618 2.33216 4.25564 0.0169279 0.58766 0.547035 
0.325 0.365432 0.295276 1.20361 0.0523634 0.307995 0.241638 0.526907 0.466558 1.33194 0.0198218 0.397966 0.348226 0.826175 0.771693 1.37174 0.00678336 0.603678 0.56131 
0.515 0.0988502 0.0621952 0.357713 0.022123 0.281846 0.169841 0.125023 0.110403 0.317024 0.00652686 0.39761 0.345372 0.1908 0.175765 0.333808 0.00248465 0.573547 0.524786 
0.815 0.0126526 0.00919696 0.0408997 0.0039967 0.319783 0.215267 0.020015 0.0160024 0.0495511 0.00177654 0.409403 0.318077 0.0222809 0.0205638 0.0449701 0.000613029 0.498351 0.454601 
1.15 0.0041464 0.00100875 0.00590325 0.00113761 0.744792 0.158074 0.00193537 0.00154884 0.0043853 0.000368965 0.455408 0.340269 0.00155701 0.00125809 0.00307004 0.000146662 0.516922 0.400972 
